service_request_type,section,total_requests,requestswiinter,% Intersections,Description,Tip,Link,Timeline
Unauthorized Tree Injury Or Removal,Climate & Forestry,16599,301,1.81,"Report a City-owned tree that has been illegally cut, removed, or damaged without a permit. Examples include cutting down a protected tree or dumping construction fill in a Ravine Protection Area without a permit.","Provide Incident address, estimated number of trees involved, location, date, time, vehicle plate number and name. Contact  311 within 6 months of violation",https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cvXSCAY&searchTerm=unauthorized%20tree%20injury,"Initial Response: 72 hours to 21 days depending on priority
Repair / Action: investigation and enforcement
Restoration / Completion: up to 12 months"
Tree Planting,Climate & Forestry,14609,232,1.59,Request the planting of a new City street tree at or near your property as part of the urban forest program.,"Based on timing of request and type of tree, requests can be completed within 12 months",https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/environment-climate-forestry/environment-climate-forestry-customer-service-standards/,"Initial Response: ~8 weeks (assessment)
Repair / Action: planting scheduled within 12–18 months"
Tree Emergency Clean Up,Climate & Forestry,95136,3491,3.67,Report a fallen or dangerously hanging tree or large branch on City property that poses an immediate safety risk.,"If a tree has fallen on a vehicle, power line, or structure, call 911 first before filing this request.",https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/environment-climate-forestry/environment-climate-forestry-customer-service-standards/,"Initial Response:  ~72 hours depending on severity
Restoration / Completion: may take months"
Traffic Signal Repair,TMC,54153,26389,48.73,"Report a malfunctioning, dark, or damaged traffic signal at an intersection. Use this for flashing lights, blank signals, or signals showing incorrect sequences.","If the signal is completely dark, treat the intersection as a four-way stop until it is repaired.",https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cw38CAA&searchTerm=signal%20repair,Timeline Not Specified
Timeliness Of Service Complaint Road Operations,Road Operations,10501,1033,9.84,File a complaint if a Road Operations service request was not completed within the promised timeframe.,Include your original service request number so staff can review the case history.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/transportation-services/transportation-services-complaints-compliments/,Completion: 30 Calendar Days
Street Furniture Request,Road Operations,6811,2680,39.35,"Report a maintenance concern, damage, or graffiti on street furniture (transit shelters, benches, litter bins, info pillars, posting structures, automated toilets, bicycle locking rings, etc.), or request the installation, relocation, or removal of a street furniture element on the public right-of-way.","For installation or relocation requests, emailing the Street Furniture unit directly may result in a faster response than filing through 311.",https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cweZCAQ&searchTerm=street%20furniture,Timeline Not Specified
Stray Confined,Toronto Animal Services,12552,274,2.18,"Report a stray animal that is confined or trapped in a yard, vehicle, or structure and cannot get out on its own.",Provide the exact address and describe where the animal is confined to help officers respond quickly.,https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cweVCAQ&searchTerm=stray,Initial Response: within ~5 hours subject to call volume
Stray At Large,Toronto Animal Services,14305,2534,17.71,Report a stray dog or cat roaming loose without an owner in a public area.,"Note the animal's breed, colour, and last known location to help officers locate it quickly.",https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cweVCAQ&searchTerm=stray,"Initial Response: within ~5 hours subject to call volume
"
Signs,Investigation Services,16563,3325,20.07,"Submit an application or inquiry related to City signage permits, including business signs, banners, or other sign installations.",Ensure your sign meets zoning and size bylaws before applying to avoid delays.,https://www.toronto.ca/services-payments/building-construction/sign-permits-information/expected-timelines-for-sign-applications/,"Repair / Action: review within ~3 months
Restoration / Completion: permit issued within ~3–10 days after approval"
Sidewalk Snow Clearing Required,Road Operations,44829,14216,31.71,Report a City-maintained sidewalk that has not been cleared of snow and is hazardous to pedestrians.,Property owners are responsible for their adjacent sidewalk within 12 hours of snowfall. This service only covers City-maintained sidewalks. Snow accumulation to be more than 2cm.,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/winter-maintenance/clearing-snow-and-ice-from-your-property/,Initial Response: within ~12–72 hours depending on snowfall and priority routes
Sidewalk Cleaning,Road Operations,17982,4047,22.51,"A sidewalk cleaning service request is a request to remove larger items such as construction debris or items left due to a traffic accident, not litter.",Sidewalk cleaning is scheduled seasonally.,https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cweUCAQ&searchTerm=road%20cleaning,"Initial Response: varies based on seasonal schedule
Repair / Action: scheduled in next cleaning cycle"
Sewer Service Line-Blocked,District Ops,96894,54,0.06,Report a blocked or backed-up sewer service line at your property. Use this if you have sewage backup in your basement or drains are not clearing.,Do not use any drains or toilets until the blockage is cleared to prevent further backup.,https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cwbdCAA&searchTerm=sewer%20line%20blocked,"Initial Response: ~4 hours
Repair / Action: ~24 hours (may extend during high demand)
Restoration / Completion: up to 24 months (in case of service line repair)"
Road Sinking,Road Operations,27590,4963,17.99,"Road sinking (also referred to as road settlement) occurs when the roadway surface drops, settles, or becomes uneven even though the asphalt surface may remain mostly intact. Visible signs may include ponding of water or depressions on the road surface. ","If the sinking is severe or worsening rapidly, also call 311 directly to flag it as urgent.",https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cwZZCAY&searchTerm=road%20sinking,Timeline Not Specified
Road Salting Request,Road Operations,16255,3221,19.82,Request salt application on an icy or slippery City road to improve traction and safety for drivers.,Main roads and transit routes are salted first. Local residential streets may take longer.Multiple rounds might be needed (values provided for one round).,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/winter-maintenance/levels-of-snow-clearing-service/,Initial Response: 2–8 hours depending on road priority
Road Pothole / Road Damage,Road Operations,169960,41581,24.47,Report a pothole or surface damage on a City road that poses a hazard to vehicles or cyclists. Use this for any road defect that needs repair.,Note the nearest intersection or landmark so the crew can locate the pothole quickly.,https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cwSGCAY&searchTerm=potholes,"Initial Response: 24 Hours (in case of Emergency)
Repair / Action: 4–21 days depending on road classification"
Road Plowing Request,Road Operations,38639,10584,27.39,Request snow plowing on a City road that has not been cleared after a snowfall. Use this if your road remains impassable after the standard clearing window.,Main roads and transit routes are plowed first. Local residential streets may take longer.Multiple rounds might be needed (values provided for one round).,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/winter-maintenance/levels-of-snow-clearing-service/,Initial Response: 2–14 hours depending on road classification
Residential: Recycle Bin: Missing,Collections,44435,7,0.02,Report that your blue recycling bin has gone missing or been stolen from your property.,Check nearby properties first as bins are sometimes moved during collection and left at the wrong address.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: replacement delivered within ~21 days
Residential: Recycle Bin: Exchange To Medium,Collections,15259,0,0,Request a swap of your current recycling bin for a medium-sized bin that better matches your household's recycling volume.,You can only change bin size once per year. Ensure a medium bin suits your recycling habits.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: completed within ~14 days
Residential: Recycle Bin: Exchange To Large,Collections,22835,0,0,Request a swap of your current recycling bin for a larger size to accommodate higher recycling volume.,You can only change bin size once per year. Ensure the larger size is right for your needs.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: completed within ~14 days
Residential: Recycle Bin: Exchange To Extra Large,Collections,45864,1,0,Request a swap of your current blue recycling bin for an extra-large bin to accommodate higher recycling volume.,You can only change bin size once per year. Ensure the extra-large size is appropriate for your needs.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: completed within ~14 days
Residential: Recycle Bin: Additional Extra Large,Collections,25633,10,0.04,Request an additional extra-large blue recycling bin for your household if your current recycling volume exceeds one bin.,Additional bins may be subject to a fee. Check your current waste tier before requesting.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: delivered within ~14 days
Residential: Garbage Bin: Missing,Collections,49594,12,0.02,Report that your City-issued garbage bin has gone missing or been stolen from your property.,Check nearby properties first. Bins are sometimes moved during collection and left at the wrong address.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: replacement delivered within ~21 days
Residential: Garbage Bin: Exchange To Small,Collections,47243,0,0,Request a swap of your current garbage bin for a smaller-sized bin that better suits your household's waste output.,A smaller bin means lower waste fees. Confirm the size is sufficient before requesting the change.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: completed within ~14 days
Residential: Garbage Bin: Exchange To Medium,Collections,59361,0,0,Request a swap of your current garbage bin for a medium-sized bin that better fits your household's waste volume.,You can only change bin size once per year. Make sure the medium size is right before requesting.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: completed within ~14 days
Residential: Garbage Bin: Exchange To Large,Collections,42019,1,0,Request a swap of your current garbage bin for a larger-sized bin that better fits your household's waste volume.,A larger bin means higher waste fees. Confirm you need the upgrade before requesting the change.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: completed within ~14 days
Residential: Garbage Bin: Exchange To Extra Large,Collections,21670,0,0,Request a swap of your current garbage bin for an extra-large bin to accommodate a larger household waste volume.,Extra-large bins come with higher waste fees. Confirm the upgrade is necessary before requesting.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: completed within ~14 days
Residential: Bin: Wrong Delivery Or Bin Return,Collections,23776,7,0.03,"Report that a City waste bin was delivered to the wrong address, or that your bin was not returned to its proper location after collection.",Check surrounding properties as bins are sometimes misplaced by collectors and may be a few doors down.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: resolved within ~14 days
Residential Furniture / Not Picked Up,Collections,105387,108,0.1,Report large furniture items left at the curb that were missed during scheduled bulky item collection. Use this the day after your scheduled pickup.,Ensure furniture is placed at the curb by 7 AM on your collection day to avoid a missed pickup.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: resolved within ~24 hours (if request created between Tues-Fri)
Residential Bin Wheel Damaged,Collections,19810,0,0,Report a City-issued garbage bin with a broken or missing wheel that makes it difficult to move to the curb.,Note your bin serial number (on the side) when filing to speed up the service.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: repaired or replaced within ~7 days
Residential Bin Lid Damaged,Collections,166419,1,0,Report a cracked or broken lid on your City-issued garbage bin. Use this if the lid no longer closes properly or is missing entirely.,Note your bin serial number (printed on the side) when filing to speed up the replacement.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: resolved within ~7 days
Residential Bin Body Or Handle Damaged,Collections,90726,1,0,"Report a cracked, broken, or structurally damaged garbage bin body or handle that makes the bin unusable or unsafe to move.",Do not place the damaged bin out for collection until it has been replaced as it may not be emptied.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: resolved within ~7 days
Residential / Yard Waste / Not Picked Up,Collections,39034,26,0.07,"Report that your yard waste (leaves, grass clippings, branches) was not collected on your scheduled pickup day.",Yard waste must be in paper bags or City-approved containers; loose piles may be skipped by collectors.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: resolved within ~24 hours (if request created between Tues-Fri)
Res / Yard Waste Multiple Addresses / Not Picked Up,Collections,13290,76,0.57,Report a missed yard waste collection affecting multiple residential addresses on the same street or route.,List all affected addresses in your report to avoid each household filing separately.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: resolved within ~24 hours (if request created between Tues-Fri)
Res / Recycle / Not Picked Up,Collections,86273,48,0.06,Report that your blue recycling bin was not collected on your scheduled pickup day.,Ensure recyclables are sorted correctly as contaminated bins may be intentionally left behind.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: resolved within ~24 hours (if request created between Tues-Fri)
Res / Recycle / Multiple Addresses / Not Picked Up,Collections,12161,58,0.48,Report a missed recycling collection affecting multiple addresses on the same street or collection route.,List all affected addresses in one report rather than filing separately for each.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: resolved within ~24 hours (if request created between Tues-Fri)
Res / Organic Green Bin / Not Picked Up,Collections,84352,51,0.06,Report that your green organics bin was not emptied on your scheduled collection day.,Line your bin with a compostable bag to reduce odour and make cleanup easier between pickups.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: resolved within ~24 hours (if request created between Tues-Fri)
Res / Organic Green Bin / Multiple Addresses / Not Picked Up,Collections,19129,87,0.45,Report a missed green organics collection affecting multiple residential addresses on the same street or route.,Filing a single report for multiple addresses is more efficient;  list all affected addresses in the notes.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: resolved within ~24 hours (if request created between Tues-Fri)
Res / Garbage / Not Picked Up,Collections,99370,100,0.1,Report that your residential garbage was not collected on your scheduled pickup day. Use this if your bin was at the curb on time and the truck passed without collecting it.,Place your bin at the curb by 7 AM. Reports filed Monday or over the weekend will enter the queue and will be resolved from the following Tuesday,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: resolved within ~24 hours (if request created between Tues-Fri)
Res / Garbage / Multiple Addresses Not Picked Up,Collections,10909,76,0.7,Report a missed garbage collection affecting multiple addresses on the same street or collection route.,A single report covering multiple addresses is processed more efficiently than individual submissions.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: resolved within ~24 hours (if request created between Tues-Fri)
Request Water Service Turn On,District Ops,33373,24,0.07,Request Toronto Water to restore the water supply to your property after it has been shut off.,Ensure all indoor taps are closed before the water is turned back on to prevent accidental flooding.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/toronto-water/toronto-water-customer-service-standards/,Repair / Action: service restored within ~8 hours
Request Water Service Turn Off,District Ops,49392,29,0.06,"Request Toronto Water to shut off the water supply to your property, typically for plumbing repairs or renovations.",Coordinate with your plumber before filing so work can begin immediately after the shutoff.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/toronto-water/toronto-water-customer-service-standards/,Repair / Action: service completed within ~8 hours
Report An Encroachment On City Property,Right of Way (ROW),48388,2885,5.96,"Report a structure, fence, landscaping, or other private installation that appears to extend onto City-owned land or the road allowance.","Include photos if possible, along with the civic address and a description of what is encroaching.",https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cvVsCAI&searchTerm=Report%20An%20Encroachment%20On%20City%20Property,Timeline Not Specified
Replace Missing Residential Organic Bin,Collections,53062,5,0.01,Request a replacement for a lost or stolen green organic bin at your residential property.,Use a compostable bag in a temporary container until your new bin arrives.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: delivered within ~14 days
Registration Toronto Water,Operations,18348,14,0.08,"Register your property with Toronto Water for new water service, or update your account information for billing and service purposes.",Have your property address and ownership documents ready when completing the registration.,https://www.toronto.ca/home/311-toronto-at-your-service/,Timeline Not Specified
Publication Request Solid Waste,Operations,57905,34,0.06,"Request printed materials from Solid Waste Management, such as collection calendars, recycling guides, or waste diversion information.",Most materials are also available online at toronto.ca. The digital version is often more current.,https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cwdJCAQ&searchTerm=Publication%20Request%20Solid%20Waste,Timeline Not Specified
Property Standards And Maintenance Violations,Investigation Services,166539,1185,0.71,"Report a property that appears to violate City maintenance or safety standards, such as structural disrepair, unsafe conditions, or bylaw breaches.",Include the full property address and a clear description of the issue to help officers prioritize the inspection.,https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cvXDCAY&searchTerm=Property%20Standards%20And%20Maintenance%20Violations,"Initial Response: ~24 hours (urgent) or ~5–10 days
Repair / Action: Investigation & enforcement process"
Postering City Property / Structures,Waste Enforcement,9962,2076,20.84,"Report illegal postering on City property or structures such as traffic poles, transit shelters, or other public infrastructure. Community notices (lost pets, yard sales, cultural or religious events) are permitted on utility poles only — all other postering must be on designated City kiosks or message boards.",Include a photo and the exact location (street address or nearest intersection) of the illegal posting to help enforcement officers locate and remove it quickly.,https://www.toronto.ca/city-government/public-notices-bylaws/bylaw-enforcement/graffiti-postering-signs/,"Initial Response: 24 hours to 10 days depending on priority
Repair / Action: removal scheduled"
Pick Up Dead Wildlife,Toronto Animal Services,160770,20251,12.6,"Request collection of a dead wild animal (raccoon, fox, bird, etc.) from a public road, sidewalk, or City property.",Do not touch or move the animal and report the exact location including nearest cross street.,https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cwFLCAY&searchTerm=pick%20up%20dead%20wildlife,"Initial Response: ~5 days
Restoration / Completion: up to ~2 weeks"
Pick Up Dead Domestic Animal,Toronto Animal Services,15912,1665,10.46,"Request collection of a deceased dog, cat, or other domestic animal from a City street or public property.",Do not move the animal. Provide the exact address or nearest intersection when filing.,https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cwFLCAY&searchTerm=pick%20up%20dead%20wildlife,"Initial Response: ~5 days
Restoration / Completion: up to ~2 weeks"
Park Use,Parks Enforcement,10297,1449,14.07,"Report a concern or violation related to the use of a City park, such as prohibited activities, after-hours use, or misuse of park facilities.",Parks Enforcement officers patrol regularly. Filing a report helps them prioritize specific areas.,https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cvWvCAI&searchTerm=park%20use,Timeline Not Specified
Outcome Of Service Complaint Road Operations,Road Operations,21464,2059,9.59,File a follow-up complaint if you are unsatisfied with the outcome or resolution of a previous Road Operations service request.,Include your original service request number to help staff locate your case quickly.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/transportation-services/transportation-services-complaints-compliments/,Repair / Action: reviewed within ~30 days; 
Multi Res / Garbage Front End / Not Picked Up,Collections,15170,6,0.04,Report a missed garbage collection for a front-end (dumpster) service at a multi-residential building.,Notify your property manager. They may need to coordinate access or scheduling with the contractor.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: resolved within ~24 hours (if request created between Tues-Fri)
Multi Res / Furniture Pile / Not Picked Up,Collections,16805,24,0.14,Report bulky furniture left at the curb for collection at a multi-residential property that was not picked up as scheduled.,Coordinate with your property manager to ensure furniture is placed at the right location for collection.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: resolved within ~24 hours (if request created between Tues-Fri)
Missing / Damaged Street Or Traffic Signs,TMC,60307,13042,21.63,"Report a street name sign, stop sign, or other traffic sign that is missing, vandalized, or damaged and needs replacement.",Note the exact intersection and which sign is affected to help crews locate and replace it efficiently.,https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cveCCAQ&searchTerm=Missing%20\/\/%20Damaged%20Street%20Or%20Traffic%20Signs,Timeline Not Specified
Maintenance Holes Lid Loose / Missing,Road Operations,8572,2963,34.57,"Report a maintenance hole (manhole) cover that is loose, missing, damaged, blocked, or creating a flooding or safety hazard for pedestrians, cyclists, or vehicles.","If the cover is completely missing or poses an immediate danger, call 311 directly rather than filing online — it can be flagged as an emergency hazard for same-day response.",https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/transportation-services/transportation-services-customer-service-standards/,"Initial Response: within ~24–72 hours depending on hazard
Repair / Action: scheduled repair
Restoration / Completion: may extend for structural work"
Long Grass And Prohibited Plants On Private Property,Investigation Services,58713,477,0.81,"Report a private property with grass or weeds exceeding the City's 20 cm height limit, or prohibited invasive plants.",Include the full address and a brief description of the vegetation to help officers assess the complaint.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/municipal-licensing-standards/municipal-licensing-standards-customer-service-standards/,Initial Response: within ~10 days
Litter / Bin / Overflow Or Not Picked Up,Collections,25932,7113,27.43,"Report an overflowing public litter bin that has not been emptied, or a litter collection that was missed during scheduled service.",Overflowing bins near parks or transit stops can be flagged as urgent when filing.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/solid-waste-management-services/solid-waste-management-services-customer-service-standards/,Repair / Action: resolved within ~24 hours (if request created between Tues-Fri)
Investigate Regulatory Signs,Traffic Ops,9818,2972,30.27,"Request an investigation into a missing, damaged, incorrectly placed, or ineffective regulatory sign — including stop signs, yield signs, turn prohibitions, speed limits, no parking/stopping signs, accessible parking zones, lane designations, pedestrian crossover signs, and community safety zone markers.","Note the exact intersection, the direction the sign faces, and the type of sign when filing — this significantly speeds up the investigation",https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cw2zCAA&searchTerm=regulatory%20signs,Repair / Action: investigation within ~270 days
